id_str,tweet_created_at,user_screen_name,user_id_str,user_statuses_count,user_favourites_count,user_protected,user_listed_count,user_following,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_created_at,tweet_language,text_,favorite_count,favorited,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,retweet_count,retweeted,text
'793872301339148288',Wed Nov 02 17:48:00 +0000 2016,AmazonHelp,85741735,2225478,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149571,53,Wed Oct 28 04:17:54 +0000 2009,en,"@Murtazansp Hi, seems like you have issues with your order. Can you please elaborate what went wrong? we'd like to help. ^YP",0,FALSE,Murtazansp,7.94E+17,2908108256,0,FALSE,
'793872423271661568',Wed Nov 02 17:48:29 +0000 2016,AmazonHelp,85741735,2225478,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149571,53,Wed Oct 28 04:17:54 +0000 2009,en,"@Murtazansp Please don't provide your order no., as we consider it to be personal information. Our Twitter page is visible to the public.^YP",0,FALSE,Murtazansp,7.94E+17,2908108256,0,FALSE,
'795124477541556224',Sun Nov 06 04:43:42 +0000 2016,Murtazansp,2908108256,54,2,FALSE,0,FALSE,,,FALSE,13,43,Sun Nov 23 12:27:23 +0000 2014,en,@AmazonHelp Awaiting my refund,0,FALSE,Murtazansp,7.94E+17,2908108256,0,FALSE,
'795207462160896001',Sun Nov 06 10:13:27 +0000 2016,AmazonHelp,85741735,2225478,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149571,53,Wed Oct 28 04:17:54 +0000 2009,en,"@Murtazansp Hey there, please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW",0,FALSE,Murtazansp,7.95E+17,2908108256,0,FALSE,"@Murtazansp Hey there, please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW"
,,,,,,,,,,,,,,,,,,,,,,,,
'793365409047023616',Tue Nov 01 08:13:48 +0000 2016,anchitkhar,106799492,4399,101,FALSE,6,FALSE,"Technology consultant and enthusiast... music lover, hobby photographer... lots of passions, just one life! 
[All tweets are strictly personal views only]",Earth,FALSE,157,260,Wed Jan 20 18:44:42 +0000 2010,en,"Funny part is next day I called delivery guy n he says 'don't worry we know the area very well, don't need any landmark'. @amazon @amazonIN https://t.co/wKnbcxgZDv",0,FALSE,,,,0,FALSE,"Funny part is next day I called delivery guy n he says 'don't worry we know the area very well, don't need any landmark'. @amazon @amazonIN https://t.co/wKnbcxgZDv"
'793375905280393216',Tue Nov 01 08:55:30 +0000 2016,AmazonHelp,85741735,2225446,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149569,53,Wed Oct 28 04:17:54 +0000 2009,en,@anchitkhar Hello Anchit! We'd like to help. Have you filled in your details in the link shared above? ^HK,0,FALSE,anchitkhar,7.93E+17,106799492,0,FALSE,
'793376242837823488',Tue Nov 01 08:56:51 +0000 2016,anchitkhar,106799492,4399,101,FALSE,6,FALSE,"Technology consultant and enthusiast... music lover, hobby photographer... lots of passions, just one life! 
[All tweets are strictly personal views only]",Earth,FALSE,157,260,Wed Jan 20 18:44:42 +0000 2010,en,"@AmazonHelp already filled and was told that everything is alright. In any case, looks like it's becoming a habit for u guys! @amazon",0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793397280254472193',Tue Nov 01 10:20:26 +0000 2016,AmazonHelp,85741735,2225446,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149569,53,Wed Oct 28 04:17:54 +0000 2009,en,"@anchitkhar HI! We have sent the correspondence to your email, I request you to check your inbox. ^SP",0,FALSE,anchitkhar,7.93E+17,106799492,0,FALSE,
'793524235306053632',Tue Nov 01 18:44:55 +0000 2016,anchitkhar,106799492,4399,101,FALSE,6,FALSE,"Technology consultant and enthusiast... music lover, hobby photographer... lots of passions, just one life! 
[All tweets are strictly personal views only]",Earth,FALSE,157,260,Wed Jan 20 18:44:42 +0000 2010,en,"@AmazonHelp no mail rcvd today. email  yestdy mentions all is sorted out. However, point is tht ur delivery ppl r letting u down @amazon",0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793534958073679872',Tue Nov 01 19:27:31 +0000 2016,AmazonHelp,85741735,2225446,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149569,53,Wed Oct 28 04:17:54 +0000 2009,en,"@anchitkhar Hey! I'm sorry you feel this way. Thanks for your feedback, we'll surely work on this for better experience. ^MM",0,FALSE,anchitkhar,7.94E+17,106799492,0,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,
'793369654878232577',Tue Nov 01 08:30:40 +0000 2016,imkapsicum,59156981,257,89,FALSE,0,FALSE,"Web-developer, upcoming Photographer, imaginative, Fun luving & witty","Mumbai, India",FALSE,94,58,Wed Jul 22 15:36:47 +0000 2009,en,"xtremely annoyed wid @amazonIN delivery, 2 late evening delv. attempt 4 ofc add. den item retrns bck to seller, follwd by item out of stock",0,FALSE,,,,0,FALSE,
